W,S,6,1,Dell
W,R,8,2,Dell
W,R,6,1,Apple
W,R,6,1,Other
W,R,8,1,Apple
W,R,7,2,Dell
NW,S,10,1,Dell
W,R,9,1,Dell
W,R,8,1,Dell
W,R,7,1,Dell
W,R,7,1,Dell
NW,R,10,2,Other
NW,R,6,1,Other
NW,R,12,2,Other
W,R,6,1,Other
W,R,8,1,Dell
NW,R,7,1,Other
W,R,6,1,Other
W,R,3,1,Apple
W,S,8,2,Dell
W,R,7,2,Dell
NW,S,10,1,Other
W,R,5,1,Apple
NL,R,5,2,Dell
NL,R,10,1,Other
W,R,6,2,Other
W,S,8,2,Dell
W,R,8,1,Apple
NL,R,7,2,Other
NW,S,9,1,Dell
NL,R,9,2,Other
NW,R,8,2,Other
NL,R,8,2,Other
NW,R,7,2,Dell
NW,R,10,2,Other
W,R,3,1,Apple
W,R,5,1,Apple
NW,R,8,1,Other
W,R,8,1,Apple
